#pt	w	w_err	wUp	wDown
9.850	0.205	0.171	0.007	0.402
11.550	0.068	0.051	0.007	0.130
13.250	0.058	0.035	0.010	0.107
14.950	0.545	0.057	0.127	0.963
16.650	0.774	0.037	0.232	1.316
18.350	0.842	0.031	0.309	1.376
20.050	0.886	0.029	0.384	1.388
21.750	0.980	0.034	0.490	1.470
23.450	1.007	0.038	0.571	1.444
25.150	1.096	0.046	0.694	1.499
26.850	1.166	0.056	0.817	1.516
28.550	1.085	0.058	0.832	1.338
30.250	1.162	0.074	0.968	1.355
31.950	1.239	0.087	1.116	1.363
33.650	1.209	0.097	1.169	1.250
35.350	1.501	0.145	1.551	1.451
37.050	1.330	0.140	1.463	1.197
38.750	1.525	0.180	1.779	1.271
40.450	1.044	0.126	1.287	0.800
42.150	1.176	0.169	1.528	0.823
43.850	1.639	0.303	2.239	1.038
45.550	1.658	0.349	2.376	0.939
47.250	1.949	0.484	2.924	0.975
48.950	1.554	0.402	2.435	0.673
50.650	1.454	0.411	2.375	0.533
52.350	1.609	0.478	2.736	0.483
54.050	1.973	0.843	3.485	0.460
55.750	0.972	0.411	1.781	0.162
57.450	0.980	0.468	1.862	0.098
59.150	1.772	1.034	3.484	0.059
