#pt	w	w_err	wUp	wDown
10.517	0.000	0.500	0.000	0.000
13.550	0.125	0.057	0.013	0.238
16.583	0.085	0.026	0.014	0.156
19.617	0.517	0.033	0.121	0.913
22.650	0.802	0.023	0.241	1.364
25.683	0.885	0.020	0.325	1.446
28.717	0.952	0.020	0.413	1.492
31.750	0.959	0.021	0.480	1.439
34.783	0.964	0.022	0.546	1.382
37.817	1.038	0.026	0.658	1.419
40.850	1.097	0.030	0.768	1.427
43.883	1.053	0.031	0.807	1.299
46.917	1.115	0.037	0.930	1.301
49.950	1.135	0.042	1.022	1.249
52.983	1.207	0.049	1.167	1.248
56.017	1.134	0.052	1.171	1.096
59.050	1.234	0.063	1.358	1.111
62.083	1.386	0.078	1.617	1.155
65.117	1.129	0.070	1.392	0.865
68.150	1.230	0.085	1.599	0.861
71.183	1.288	0.096	1.760	0.816
74.217	1.054	0.091	1.511	0.597
77.250	1.303	0.120	1.954	0.651
80.283	1.450	0.141	2.272	0.629
83.317	1.212	0.140	1.979	0.444
86.350	1.431	0.166	2.433	0.429
89.383	1.320	0.173	2.331	0.308
92.417	1.440	0.210	2.640	0.240
95.450	1.355	0.201	2.574	0.135
98.483	1.416	0.247	2.785	0.047
