#pt	w	w_err	wUp	wDown
19.000	0.820	0.049	0.773	0.866
21.000	0.902	0.030	0.874	0.929
23.000	0.863	0.024	0.842	0.884
25.000	0.906	0.022	0.888	0.925
27.000	0.931	0.021	0.914	0.948
29.000	0.933	0.021	0.918	0.949
31.000	0.972	0.022	0.958	0.987
33.000	0.989	0.023	0.977	1.002
35.000	0.981	0.024	0.971	0.990
37.000	0.983	0.026	0.979	0.988
39.000	1.030	0.028	1.031	1.029
41.000	1.047	0.030	1.050	1.044
43.000	1.042	0.032	1.047	1.036
45.000	1.113	0.036	1.121	1.104
47.000	1.079	0.038	1.091	1.068
49.000	1.014	0.040	1.028	1.000
51.000	1.108	0.045	1.127	1.090
53.000	1.013	0.046	1.034	0.992
55.000	1.149	0.052	1.175	1.123
57.000	1.111	0.055	1.140	1.081
59.000	1.229	0.063	1.265	1.192
61.000	1.153	0.065	1.192	1.113
63.000	1.230	0.075	1.279	1.182
65.000	1.132	0.074	1.182	1.083
67.000	1.219	0.082	1.276	1.162
69.000	1.198	0.089	1.262	1.134
71.000	1.203	0.093	1.272	1.133
73.000	0.973	0.087	1.039	0.906
75.000	1.034	0.099	1.112	0.957
77.000	1.147	0.113	1.238	1.056
79.000	1.280	0.123	1.381	1.180
81.000	1.296	0.138	1.410	1.181
83.000	1.200	0.137	1.316	1.085
85.000	1.308	0.154	1.440	1.176
87.000	1.209	0.145	1.335	1.083
89.000	1.026	0.147	1.155	0.897
95.000	1.285	0.086	1.362	1.207
105.000	1.227	0.068	1.290	1.163
