#pt	w	w_err	wUp	wDown
18.302	0.654	0.098	0.561	0.747
18.919	0.765	0.076	0.693	0.837
19.565	0.825	0.058	0.770	0.880
20.241	0.802	0.046	0.760	0.845
20.948	0.986	0.043	0.946	1.027
21.688	0.887	0.036	0.854	0.920
22.462	0.935	0.032	0.905	0.964
23.272	0.957	0.029	0.931	0.984
24.120	0.972	0.028	0.947	0.997
25.008	0.913	0.025	0.891	0.935
25.936	0.948	0.024	0.927	0.969
26.907	0.964	0.023	0.944	0.984
27.924	0.949	0.023	0.930	0.969
28.988	0.982	0.023	0.964	1.001
30.101	0.954	0.022	0.936	0.971
31.265	0.994	0.023	0.977	1.012
32.484	0.984	0.023	0.968	1.000
33.760	0.996	0.023	0.981	1.011
35.094	1.012	0.024	0.997	1.026
36.491	0.978	0.023	0.965	0.990
37.952	1.009	0.024	0.998	1.020
39.481	1.006	0.025	0.997	1.015
41.081	1.016	0.026	1.011	1.022
42.755	1.011	0.027	1.011	1.012
44.507	1.054	0.029	1.056	1.053
46.340	1.050	0.030	1.054	1.047
48.258	1.064	0.031	1.070	1.059
50.266	1.049	0.033	1.057	1.041
52.366	0.995	0.034	1.005	0.985
54.564	1.122	0.038	1.135	1.108
56.864	1.063	0.039	1.078	1.047
59.271	1.057	0.042	1.076	1.038
61.789	1.136	0.046	1.159	1.113
64.424	1.085	0.049	1.111	1.058
67.182	1.149	0.053	1.180	1.117
70.067	1.074	0.057	1.110	1.039
73.086	1.011	0.059	1.050	0.971
76.246	1.045	0.063	1.089	1.000
79.551	1.340	0.078	1.397	1.282
83.011	1.090	0.078	1.150	1.030
86.631	1.076	0.083	1.142	1.010
90.419	1.159	0.095	1.238	1.081
94.382	1.163	0.097	1.245	1.080
98.530	1.208	0.116	1.309	1.107
102.870	1.222	0.127	1.334	1.109
107.411	1.295	0.143	1.424	1.166
112.163	1.104	0.147	1.239	0.969
117.136	1.070	0.153	1.213	0.927
122.339	1.243	0.084	1.323	1.164
