#pt	w	w_err	wUp	wDown
18.302	0.657	0.101	0.561	0.753
18.919	0.782	0.080	0.706	0.858
19.565	0.863	0.064	0.803	0.923
20.241	0.804	0.048	0.759	0.849
20.948	0.995	0.045	0.953	1.037
21.688	0.887	0.037	0.853	0.922
22.462	0.945	0.034	0.914	0.977
23.272	0.956	0.031	0.928	0.983
24.120	0.982	0.030	0.955	1.009
25.008	0.916	0.026	0.893	0.939
25.936	0.956	0.026	0.933	0.978
26.907	0.962	0.025	0.941	0.983
27.924	0.949	0.024	0.929	0.969
28.988	0.977	0.024	0.958	0.996
30.101	0.948	0.023	0.930	0.966
31.265	1.013	0.024	0.995	1.032
32.484	0.982	0.024	0.965	0.999
33.760	1.002	0.024	0.986	1.018
35.094	1.005	0.025	0.990	1.020
36.491	0.985	0.025	0.972	0.998
37.952	1.003	0.025	0.992	1.015
39.481	1.002	0.026	0.993	1.011
41.081	1.013	0.028	1.007	1.018
42.755	1.002	0.028	1.001	1.002
44.507	1.056	0.030	1.058	1.055
46.340	1.039	0.031	1.043	1.035
48.258	1.060	0.033	1.066	1.054
50.266	1.062	0.035	1.070	1.054
52.366	0.982	0.035	0.992	0.972
54.564	1.104	0.040	1.118	1.091
56.864	1.064	0.041	1.081	1.048
59.271	1.063	0.045	1.083	1.043
61.789	1.133	0.049	1.157	1.108
64.424	1.075	0.051	1.103	1.047
67.182	1.155	0.057	1.188	1.121
70.067	1.081	0.060	1.119	1.043
73.086	0.989	0.061	1.030	0.949
76.246	1.040	0.066	1.086	0.993
79.551	1.328	0.082	1.389	1.267
83.011	1.093	0.082	1.155	1.030
86.631	1.065	0.086	1.133	0.996
90.419	1.124	0.097	1.204	1.044
94.382	1.151	0.102	1.237	1.064
98.530	1.231	0.125	1.340	1.122
102.870	1.284	0.141	1.409	1.159
107.411	1.271	0.147	1.404	1.137
112.163	1.096	0.153	1.237	0.955
117.136	1.060	0.159	1.209	0.911
122.339	1.217	0.087	1.300	1.135
