#pt	w	w_err	wUp	wDown
12.161	0.762	0.342	0.437	1.087
12.496	0.426	0.140	0.293	0.558
12.858	0.823	0.148	0.683	0.962
13.249	0.881	0.098	0.789	0.974
13.672	0.820	0.075	0.750	0.891
14.129	0.847	0.061	0.790	0.904
14.622	0.928	0.053	0.878	0.977
15.156	0.860	0.044	0.820	0.901
15.732	0.905	0.040	0.869	0.942
16.354	0.908	0.038	0.874	0.942
17.027	0.915	0.037	0.882	0.947
17.754	0.971	0.037	0.939	1.003
18.539	0.993	0.036	0.962	1.024
19.388	1.028	0.037	0.997	1.058
20.305	1.023	0.037	0.993	1.053
21.296	1.041	0.037	1.012	1.070
22.367	0.967	0.036	0.940	0.993
23.524	1.019	0.038	0.993	1.045
24.774	1.034	0.040	1.009	1.058
26.124	1.084	0.042	1.062	1.106
27.584	1.029	0.043	1.012	1.045
29.161	1.051	0.046	1.041	1.060
30.865	1.067	0.049	1.067	1.066
32.706	1.006	0.052	1.011	1.001
34.695	1.149	0.060	1.160	1.137
36.845	0.998	0.064	1.016	0.981
39.168	1.071	0.074	1.097	1.044
41.678	1.168	0.089	1.206	1.130
44.389	1.312	0.101	1.363	1.261
47.320	1.012	0.099	1.068	0.955
50.486	1.154	0.127	1.235	1.073
53.907	1.237	0.145	1.337	1.136
57.604	0.945	0.148	1.055	0.835
61.598	1.144	0.195	1.298	0.989
65.914	1.015	0.217	1.196	0.834
70.577	1.157	0.266	1.388	0.926
75.616	1.089	0.300	1.358	0.820
81.061	2.011	0.500	2.472	1.550
86.945	1.691	0.315	1.987	1.394
