#pt	w	w_err	wUp	wDown
12.231	0.618	0.251	0.380	0.856
12.709	0.716	0.135	0.589	0.843
13.219	0.914	0.097	0.823	1.005
13.763	0.863	0.067	0.801	0.925
14.342	0.924	0.055	0.873	0.975
14.960	0.862	0.045	0.821	0.903
15.618	0.941	0.040	0.904	0.978
16.320	0.904	0.037	0.871	0.937
17.068	0.947	0.036	0.916	0.979
17.866	0.954	0.036	0.922	0.986
18.717	1.025	0.037	0.994	1.057
19.624	1.006	0.037	0.975	1.036
20.590	1.050	0.037	1.020	1.080
21.621	1.011	0.038	0.982	1.040
22.720	0.981	0.038	0.954	1.008
23.892	0.979	0.039	0.953	1.005
25.141	1.081	0.043	1.056	1.106
26.472	1.061	0.045	1.039	1.083
27.892	1.008	0.045	0.992	1.024
29.405	1.010	0.048	1.001	1.018
31.019	1.081	0.052	1.082	1.080
32.739	1.010	0.056	1.016	1.005
34.573	1.096	0.064	1.108	1.085
36.528	1.060	0.069	1.078	1.042
38.612	1.026	0.075	1.051	1.001
40.834	1.020	0.088	1.055	0.984
43.203	1.336	0.106	1.386	1.286
45.729	1.131	0.107	1.188	1.074
48.422	1.091	0.122	1.164	1.019
51.293	1.189	0.146	1.284	1.094
54.353	1.089	0.156	1.198	0.981
57.616	0.961	0.164	1.083	0.838
61.095	1.086	0.213	1.254	0.919
64.803	0.933	0.215	1.110	0.756
68.757	0.828	0.228	1.023	0.633
72.972	1.489	0.391	1.834	1.144
77.466	1.467	0.385	1.816	1.119
82.257	1.385	0.455	1.806	0.964
87.364	1.812	0.342	2.135	1.490
