#pt	w	w_err	wUp	wDown
13.000	1.561	1.222	0.410	2.712
15.000	0.708	0.051	0.661	0.756
17.000	0.808	0.024	0.787	0.830
19.000	0.897	0.020	0.880	0.914
21.000	0.962	0.020	0.945	0.978
23.000	0.969	0.021	0.953	0.984
25.000	1.018	0.024	1.003	1.034
27.000	1.063	0.027	1.049	1.078
29.000	1.057	0.029	1.047	1.068
31.000	1.069	0.033	1.064	1.074
33.000	1.089	0.036	1.091	1.088
35.000	1.026	0.039	1.031	1.021
37.000	1.075	0.045	1.085	1.066
39.000	1.131	0.052	1.146	1.116
41.000	1.116	0.057	1.135	1.096
43.000	1.180	0.068	1.208	1.153
45.000	1.144	0.073	1.177	1.110
47.000	1.226	0.086	1.270	1.183
49.000	1.058	0.089	1.107	1.009
51.000	1.063	0.099	1.122	1.005
53.000	1.183	0.118	1.258	1.109
55.000	1.056	0.119	1.135	0.977
57.000	1.096	0.136	1.190	1.001
59.000	1.125	0.151	1.235	1.016
62.500	1.440	0.127	1.537	1.343
67.500	1.484	0.156	1.611	1.357
72.500	1.205	0.183	1.362	1.049
77.500	1.153	0.209	1.338	0.968
82.500	1.050	0.225	1.255	0.845
87.500	1.521	0.356	1.852	1.191
92.500	1.149	0.192	1.331	0.968
