#pt	w	w_err	wUp	wDown
14.147	1.419	0.798	0.662	2.177
14.451	1.145	0.366	0.798	1.492
14.777	0.767	0.171	0.606	0.929
15.127	0.660	0.112	0.554	0.765
15.503	0.615	0.082	0.538	0.692
15.907	0.773	0.067	0.711	0.836
16.340	0.916	0.058	0.862	0.970
16.805	0.844	0.045	0.802	0.886
17.304	0.831	0.039	0.796	0.867
17.839	0.878	0.034	0.847	0.908
18.414	0.900	0.032	0.871	0.929
19.031	0.950	0.030	0.923	0.977
19.693	0.941	0.028	0.915	0.966
20.404	0.988	0.027	0.964	1.012
21.167	0.973	0.026	0.950	0.995
21.986	0.982	0.026	0.960	1.004
22.865	1.000	0.026	0.979	1.021
23.808	0.998	0.026	0.978	1.019
24.821	1.067	0.028	1.047	1.088
25.907	1.017	0.027	0.998	1.036
27.074	1.033	0.028	1.014	1.051
28.326	1.011	0.029	0.994	1.027
29.669	1.033	0.030	1.019	1.048
31.112	1.052	0.031	1.041	1.064
32.660	1.046	0.032	1.039	1.052
34.321	1.038	0.034	1.038	1.038
36.104	1.053	0.036	1.056	1.050
38.019	1.081	0.040	1.088	1.075
40.073	1.045	0.042	1.055	1.036
42.278	1.045	0.047	1.059	1.030
44.645	1.026	0.051	1.045	1.006
47.185	1.147	0.061	1.174	1.120
49.912	1.089	0.064	1.122	1.056
52.839	1.149	0.075	1.192	1.106
55.980	1.000	0.077	1.048	0.951
59.351	1.092	0.097	1.159	1.026
62.970	1.151	0.112	1.233	1.069
66.854	1.226	0.126	1.323	1.128
71.023	1.010	0.158	1.139	0.882
75.497	1.015	0.175	1.163	0.866
80.300	1.080	0.183	1.241	0.920
85.455	1.048	0.223	1.249	0.846
90.987	1.289	0.259	1.529	1.050
96.926	1.183	0.174	1.347	1.019
