#pt	w	w_err	wUp	wDown
19.000	0.789	0.012	0.779	0.799
21.000	0.860	0.010	0.852	0.869
23.000	0.893	0.009	0.886	0.901
25.000	0.938	0.009	0.931	0.945
27.000	0.950	0.010	0.944	0.957
29.000	1.002	0.010	0.995	1.008
31.000	0.975	0.015	0.968	0.983
33.000	1.014	0.012	1.009	1.018
35.000	1.044	0.013	1.041	1.048
37.000	1.038	0.014	1.036	1.039
39.000	1.075	0.015	1.075	1.075
41.000	1.067	0.016	1.069	1.066
43.000	1.065	0.018	1.067	1.063
45.000	1.128	0.020	1.131	1.124
47.000	1.090	0.021	1.094	1.085
49.000	1.116	0.023	1.122	1.110
51.000	1.105	0.024	1.112	1.098
53.000	1.146	0.027	1.155	1.137
55.000	1.090	0.028	1.100	1.079
57.000	1.114	0.031	1.127	1.102
59.000	1.087	0.033	1.102	1.073
61.000	1.113	0.035	1.130	1.097
63.000	1.206	0.041	1.227	1.186
65.000	1.174	0.043	1.196	1.151
67.000	1.117	0.044	1.141	1.093
69.000	1.151	0.049	1.179	1.122
71.000	1.126	0.050	1.156	1.096
73.000	1.065	0.050	1.096	1.034
75.000	1.158	0.059	1.195	1.120
77.000	1.126	0.062	1.167	1.085
79.000	1.167	0.068	1.213	1.121
81.000	1.277	0.079	1.332	1.222
83.000	1.226	0.082	1.284	1.168
85.000	1.199	0.084	1.260	1.138
87.000	1.271	0.092	1.339	1.203
89.000	1.258	0.100	1.334	1.183
95.000	1.291	0.052	1.332	1.249
105.000	1.214	0.038	1.246	1.183
