#pt	w	w_err	wUp	wDown
19.000	0.788	0.012	0.778	0.799
21.000	0.869	0.010	0.860	0.878
23.000	0.898	0.010	0.891	0.906
25.000	0.946	0.010	0.939	0.953
27.000	0.955	0.010	0.948	0.961
29.000	1.005	0.010	0.999	1.012
31.000	0.978	0.015	0.970	0.985
33.000	1.015	0.012	1.011	1.020
35.000	1.047	0.013	1.043	1.050
37.000	1.029	0.014	1.027	1.031
39.000	1.071	0.015	1.071	1.071
41.000	1.065	0.017	1.067	1.064
43.000	1.063	0.018	1.065	1.061
45.000	1.119	0.020	1.123	1.116
47.000	1.082	0.021	1.086	1.077
49.000	1.108	0.023	1.114	1.102
51.000	1.100	0.025	1.108	1.093
53.000	1.135	0.028	1.145	1.126
55.000	1.087	0.029	1.098	1.076
57.000	1.100	0.031	1.113	1.088
59.000	1.085	0.033	1.099	1.070
61.000	1.095	0.036	1.112	1.078
63.000	1.201	0.042	1.221	1.180
65.000	1.157	0.044	1.180	1.134
67.000	1.108	0.044	1.132	1.084
69.000	1.145	0.050	1.174	1.116
71.000	1.108	0.051	1.138	1.078
73.000	1.066	0.050	1.097	1.034
75.000	1.142	0.059	1.180	1.104
77.000	1.110	0.063	1.151	1.068
79.000	1.142	0.068	1.188	1.095
81.000	1.242	0.079	1.297	1.187
83.000	1.223	0.083	1.281	1.164
85.000	1.170	0.084	1.231	1.109
87.000	1.263	0.092	1.332	1.195
89.000	1.234	0.100	1.310	1.159
95.000	1.259	0.052	1.300	1.218
105.000	1.185	0.037	1.216	1.154
