#pt	w	w_err	wUp	wDown
11.000	0.712	0.025	0.691	0.733
13.000	0.827	0.009	0.819	0.834
15.000	0.887	0.008	0.880	0.893
17.000	0.969	0.009	0.963	0.976
19.000	1.025	0.011	1.018	1.032
21.000	1.048	0.012	1.041	1.054
23.000	1.097	0.014	1.090	1.103
25.000	1.132	0.017	1.127	1.138
27.000	1.152	0.020	1.149	1.155
29.000	1.164	0.023	1.164	1.164
31.000	1.199	0.027	1.201	1.197
33.000	1.164	0.031	1.168	1.159
35.000	1.232	0.037	1.240	1.225
37.000	1.230	0.043	1.242	1.219
39.000	1.185	0.048	1.200	1.170
41.000	1.172	0.056	1.192	1.152
43.000	1.311	0.068	1.338	1.284
45.000	1.321	0.075	1.355	1.288
47.000	1.233	0.078	1.271	1.195
49.000	1.291	0.094	1.339	1.243
53.500	1.363	0.068	1.403	1.324
60.500	1.463	0.103	1.533	1.393
67.500	1.246	0.133	1.346	1.146
74.500	1.122	0.148	1.241	1.002
81.500	1.232	0.140	1.351	1.114
