#pt	w	w_err	wUp	wDown
11.000	0.764	0.028	0.740	0.787
13.000	0.856	0.010	0.848	0.864
15.000	0.896	0.008	0.889	0.902
17.000	0.972	0.009	0.966	0.979
19.000	1.021	0.011	1.014	1.028
21.000	1.038	0.012	1.031	1.045
23.000	1.080	0.015	1.073	1.086
25.000	1.110	0.017	1.105	1.116
27.000	1.133	0.020	1.130	1.136
29.000	1.141	0.023	1.142	1.141
31.000	1.175	0.027	1.177	1.172
33.000	1.141	0.031	1.146	1.137
35.000	1.210	0.037	1.218	1.203
37.000	1.195	0.043	1.206	1.184
39.000	1.139	0.048	1.154	1.124
41.000	1.135	0.056	1.155	1.115
43.000	1.265	0.068	1.292	1.238
45.000	1.268	0.075	1.301	1.235
47.000	1.176	0.077	1.213	1.139
49.000	1.230	0.093	1.277	1.182
53.500	1.298	0.067	1.338	1.258
60.500	1.420	0.101	1.489	1.351
67.500	1.181	0.133	1.281	1.081
74.500	1.042	0.151	1.163	0.921
81.500	1.116	0.139	1.234	0.999
