#pt	w	w_err	wUp	wDown
13.000	0.818	0.036	0.787	0.848
15.000	0.799	0.010	0.791	0.807
17.000	0.872	0.007	0.866	0.878
19.000	0.930	0.007	0.925	0.935
21.000	0.974	0.008	0.968	0.979
23.000	1.007	0.009	1.002	1.013
25.000	1.038	0.011	1.032	1.043
27.000	1.071	0.012	1.066	1.076
29.000	1.100	0.014	1.096	1.103
31.000	1.115	0.016	1.113	1.116
33.000	1.150	0.018	1.150	1.149
35.000	1.141	0.020	1.142	1.139
37.000	1.139	0.023	1.142	1.135
39.000	1.180	0.027	1.185	1.174
41.000	1.227	0.031	1.235	1.219
43.000	1.127	0.034	1.137	1.117
45.000	1.225	0.041	1.238	1.211
47.000	1.221	0.045	1.238	1.204
49.000	1.267	0.052	1.288	1.245
51.000	1.185	0.054	1.210	1.161
53.000	1.191	0.061	1.220	1.161
55.000	1.272	0.073	1.310	1.235
57.000	1.276	0.077	1.318	1.234
59.000	1.178	0.082	1.225	1.131
62.500	1.286	0.067	1.327	1.244
67.500	1.142	0.074	1.192	1.092
72.500	1.268	0.102	1.342	1.195
77.500	1.098	0.106	1.179	1.017
82.500	1.517	0.171	1.654	1.380
87.500	1.558	0.207	1.729	1.387
92.500	1.439	0.114	1.537	1.342
