#pt	w	w_err	wUp	wDown
13.000	0.832	0.037	0.801	0.864
15.000	0.811	0.010	0.802	0.819
17.000	0.879	0.008	0.873	0.885
19.000	0.937	0.007	0.931	0.942
21.000	0.976	0.008	0.971	0.982
23.000	1.007	0.009	1.002	1.013
25.000	1.034	0.011	1.029	1.040
27.000	1.071	0.012	1.066	1.076
29.000	1.090	0.014	1.087	1.094
31.000	1.107	0.016	1.105	1.108
33.000	1.140	0.018	1.140	1.139
35.000	1.131	0.020	1.133	1.129
37.000	1.125	0.023	1.128	1.121
39.000	1.165	0.027	1.170	1.159
41.000	1.204	0.031	1.212	1.196
43.000	1.110	0.034	1.120	1.101
45.000	1.198	0.041	1.212	1.184
47.000	1.185	0.045	1.201	1.168
49.000	1.250	0.052	1.271	1.228
51.000	1.176	0.054	1.201	1.152
53.000	1.146	0.061	1.175	1.116
55.000	1.230	0.073	1.267	1.192
57.000	1.257	0.077	1.299	1.215
59.000	1.187	0.082	1.234	1.139
62.500	1.256	0.067	1.297	1.214
67.500	1.122	0.074	1.172	1.072
72.500	1.237	0.101	1.310	1.164
77.500	1.038	0.106	1.119	0.958
82.500	1.445	0.170	1.580	1.310
87.500	1.493	0.202	1.661	1.326
92.500	1.352	0.113	1.448	1.256
