#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,502,502,0.028579389,0.028103062
320688:7006,08/01/18 15:33:26,459,459,0.129791839,0.125533741
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,193,193,0.069824302,0.067783669
320804:7017,08/03/18 07:30:11,1201,1201,0.322402094,0.311495437
320807:7017,08/03/18 15:28:46,4,4,0.000754811,0.000348408
320809:7017,08/03/18 15:43:13,690,690,0.104405221,0.101723464
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,467,467,0.138074914,0.133605981
320823:7018,08/04/18 04:34:31,359,359,0.082587440,0.079784337
320824:7018,08/04/18 06:55:49,1012,1012,0.163053915,0.158812253
320838:7020,08/04/18 17:51:47,208,208,0.076747525,0.073392931
320840:7020,08/04/18 19:20:14,461,461,0.143597293,0.138153758
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,182,182,0.066572730,0.064587496
320854:7024,08/05/18 08:59:06,124,124,0.041082853,0.039644924
320855:7024,08/05/18 09:50:43,524,524,0.140951065,0.136009912
320856:7024,08/05/18 13:36:28,158,158,0.034379078,0.033275935
320857:7024,08/05/18 14:39:57,272,272,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,199,199,0.033991004,0.032732547
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1746,1746,0.433485066,0.420559158
320920:7031,08/06/18 21:56:15,144,144,0.019726146,0.019175093
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,807,807,0.212721119,0.206278125
320936:7033,08/07/18 10:01:22,336,336,0.068236590,0.066035274
320941:7033,08/07/18 12:39:42,93,93,0.016178908,0.015638078
320995:7036,08/07/18 19:28:55,175,175,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,376,376,0.050076867,0.048288004
321004:7037,08/08/18 01:58:11,110,110,0.039203300,0.037963509
321005:7037,08/08/18 02:48:15,26,26,0.008880285,0.008449496
321006:7037,08/08/18 03:15:04,152,152,0.050708659,0.048427067
321007:7037,08/08/18 04:19:56,825,825,0.208629371,0.202158090
321009:7037,08/08/18 09:43:25,77,77,0.015125928,0.014732928
321010:7037,08/08/18 10:16:22,309,309,0.053824182,0.051798194
321011:7037,08/08/18 12:32:48,178,178,0.026835929,0.024625641
321012:7037,08/08/18 13:58:30,43,43,0.004840394,0.004570381
321051:7039,08/09/18 04:16:34,851,851,0.234581731,0.225465611
321055:7039,08/09/18 10:35:36,695,695,0.122334672,0.119548510
321067:7040,08/09/18 18:22:54,578,578,0.175088108,0.169112646
321068:7040,08/09/18 22:16:40,648,648,0.137498281,0.133926569
321069:7040,08/10/18 02:54:15,311,311,0.051001475,0.049462970
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,381,381,0.123967456,0.119177820
321124:7042,08/10/18 19:20:25,700,700,0.165067715,0.159310936
321126:7042,08/11/18 01:08:48,433,433,0.071936431,0.069861186
321134:7043,08/11/18 08:40:42,33,33,0.007725712,0.007483689
321138:7043,08/11/18 09:32:55,638,638,0.129132544,0.125146812
