#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,586,586,0.033489554,0.032939506
320688:7006,08/01/18 15:33:26,459,459,0.129791839,0.125533741
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,249,249,0.091009415,0.087702864
320804:7017,08/03/18 07:30:11,1042,1042,0.288043573,0.278098363
320807:7017,08/03/18 15:28:46,2,2,0.000377819,0.000348394
320809:7017,08/03/18 15:43:13,631,631,0.094210317,0.091917845
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,522,522,0.154770094,0.149814403
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,1051,1051,0.168366394,0.164020053
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,466,466,0.145326614,0.139843771
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,182,182,0.066572730,0.064587496
320854:7024,08/05/18 08:59:06,124,124,0.041082853,0.039644924
320855:7024,08/05/18 09:50:43,565,565,0.151991410,0.146559259
320856:7024,08/05/18 13:36:28,159,159,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,242,242,0.049107790,0.047519693
320858:7024,08/05/18 16:38:26,187,187,0.031288104,0.029965682
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1764,1764,0.443791654,0.430708937
320920:7031,08/06/18 21:58:34,159,159,0.021830076,0.021294408
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,824,824,0.216999585,0.210460582
320936:7033,08/07/18 10:01:22,391,391,0.079814632,0.077656421
320941:7033,08/07/18 12:39:42,93,93,0.016178908,0.015638078
320995:7036,08/07/18 19:28:55,175,175,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,376,376,0.050076867,0.048288004
321004:7037,08/08/18 01:58:11,115,115,0.040856398,0.039348196
321005:7037,08/08/18 02:48:15,57,57,0.019956525,0.019195813
321006:7037,08/08/18 03:15:04,162,162,0.054086088,0.051704227
321007:7037,08/08/18 04:19:56,826,826,0.208984307,0.202577137
321009:7037,08/08/18 09:43:25,77,77,0.015125928,0.014732928
321010:7037,08/08/18 10:16:22,340,340,0.059403962,0.057206632
321011:7037,08/08/18 12:32:48,131,131,0.019998239,0.018390979
321012:7037,08/08/18 14:00:27,32,32,0.003555139,0.003309493
321051:7039,08/09/18 04:16:34,949,949,0.268373949,0.258246248
321055:7039,08/09/18 10:35:36,656,656,0.115901689,0.113271875
321067:7040,08/09/18 18:22:54,586,586,0.177409428,0.171376428
321068:7040,08/09/18 22:16:40,689,689,0.147692571,0.143903545
321069:7040,08/10/18 02:54:15,311,311,0.050959390,0.049307084
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,379,379,0.123294439,0.118522778
321124:7042,08/10/18 19:20:25,813,813,0.191652550,0.185068003
321126:7042,08/11/18 01:08:48,480,480,0.079064243,0.076776947
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,723,723,0.146764051,0.141805075
321140:7043,08/11/18 14:25:01,468,468,0.070378200,0.068784605
321149:7045,08/11/18 23:56:50,1220,1220,0.310179408,0.301894901
321167:7047,08/12/18 16:46:58,773,773,0.228081667,0.221135295
321177:7048,08/13/18 05:43:53,99,99,0.034677832,0.033442817
321178:7048,08/13/18 06:57:22,74,74,0.023596124,0.023034517
321218:7052,08/13/18 13:50:33,644,644,0.197222713,0.190257506
321219:7052,08/13/18 18:10:44,768,768,0.155961070,0.151995989
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,566,566,0.177121576,0.172095099
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,734,734,0.208661372,0.201490287
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:05:54,2181,2181,0.468601047,0.454492056
321312:7056,08/15/18 20:56:27,554,554,0.045693867,0.044734879
321313:7056,08/16/18 01:56:50,385,385,0.025357605,0.025004184
321396:7058,08/17/18 06:53:12,1401,1401,0.354315608,0.341676937
321397:7058,08/17/18 16:11:03,353,353,0.051748088,0.050360113
321414:7061,08/17/18 23:32:05,880,880,0.253518406,0.244724411
321415:7061,08/18/18 05:21:19,801,801,0.145629108,0.141616885
321433:7063,08/18/18 15:35:44,67,67,0.024029117,0.022227771
321434:7063,08/18/18 16:07:00,616,616,0.180338095,0.175012662
321436:7063,08/18/18 20:20:52,707,707,0.141405305,0.137896102
321457:7065,08/19/18 09:40:10,1529,1529,0.377932387,0.365235552
321461:7065,08/19/18 19:38:10,149,149,0.021566306,0.021013094
321475:7069,08/20/18 02:27:49,1875,1875,0.433142183,0.418494793
321712:7078,08/23/18 13:48:04,242,242,0.086124447,0.082679940
321730:7080,08/23/18 22:26:17,86,86,0.032733997,0.029613997
321732:7080,08/23/18 23:11:27,1241,1241,0.325285981,0.313268078
321735:7080,08/24/18 08:34:37,142,142,0.023646951,0.022974817
321755:7083,08/24/18 16:26:11,279,279,0.081022627,0.078679195
321758:7083,08/24/18 18:21:07,151,151,0.038384976,0.037276933
321760:7083,08/24/18 19:45:38,802,802,0.149959511,0.145639589
321774:7087,08/25/18 13:13:44,42,42,0.015956885,0.015131543
321775:7087,08/25/18 13:36:11,13,13,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
321777:7087,08/25/18 14:14:59,187,187,0.063976900,0.058616866
321778:7087,08/25/18 16:07:27,127,127,0.037333649,0.036058295
321780:7087,08/25/18 17:04:57,481,481,0.116933559,0.113674716
321781:7087,08/25/18 20:38:11,378,378,0.070180953,0.067630794
321813:7090,08/26/18 10:30:34,135,135,0.050134064,0.048322435
321815:7090,08/26/18 12:01:16,23,23,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,535,535,0.153300874,0.148473507
321818:7090,08/26/18 15:50:06,688,688,0.142544177,0.138015377
321820:7090,08/26/18 20:26:15,213,213,0.032730741,0.031921865
321831:7091,08/27/18 01:07:29,601,601,0.200630026,0.192430469
321832:7091,08/27/18 05:06:22,384,384,0.096664019,0.093958691
321833:7091,08/27/18 08:29:44,378,378,0.072826843,0.070427933
321834:7091,08/27/18 11:05:28,331,331,0.051265906,0.049511935
321879:7092,08/27/18 18:05:52,235,235,0.086811246,0.082547529
321880:7092,08/27/18 20:01:46,130,130,0.042742253,0.041375820
321887:7095,08/28/18 01:49:32,612,612,0.193750167,0.185607759
321908:7097,08/28/18 14:34:10,279,279,0.099658615,0.095387515
321909:7097,08/28/18 16:31:34,1649,1649,0.350824442,0.340039613
321917:7098,08/29/18 06:32:23,629,629,0.205428117,0.197797212
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,170,170,0.062838620,0.060198021
321973:7105,08/30/18 10:48:13,1020,1020,0.303573145,0.292114982
321975:7105,08/30/18 17:37:42,727,727,0.123658574,0.119506779
321988:7108,08/31/18 05:01:45,983,983,0.292088123,0.280685342
321990:7108,08/31/18 13:16:37,461,461,0.081423372,0.079248628
322022:7110,08/31/18 22:04:41,1432,1432,0.376585046,0.363214658
322068:7117,09/02/18 04:06:01,455,455,0.155748779,0.149268596
322079:7118,09/02/18 13:17:53,83,83,0.031599067,0.030058912
322106:7120,09/02/18 23:29:07,492,492,0.160153410,0.154643227
322118:7122,09/03/18 08:05:17,740,740,0.230243965,0.221591857
322179:7123,09/03/18 17:53:40,1520,1520,0.403302928,0.388689286
322204:7124,09/04/18 07:30:01,1110,1110,0.316967465,0.304414815
322222:7124,09/04/18 14:53:45,522,522,0.095503839,0.091963954
322252:7125,09/04/18 21:22:57,1228,1228,0.330508840,0.317640187
322319:7127,09/05/18 12:39:05,60,60,0.023375538,0.021662394
322322:7127,09/05/18 13:29:27,1098,1098,0.301514876,0.290674139
322324:7127,09/05/18 21:27:53,401,401,0.069361352,0.067338006
322332:7128,09/06/18 03:19:33,692,692,0.217934348,0.209595338
322348:7131,09/06/18 14:41:32,1292,1292,0.364517222,0.350775267
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,775,775,0.241351558,0.233374203
322381:7133,09/07/18 11:48:13,436,436,0.149695844,0.143466267
322407:7135,09/07/18 18:04:27,493,493,0.163562883,0.155454281
322430:7137,09/08/18 02:10:36,155,155,0.055375022,0.053332611
322431:7137,09/08/18 06:34:56,1063,1063,0.211322830,0.204287437
322480:7139,09/08/18 17:40:13,315,315,0.110889293,0.104953859
322492:7139,09/08/18 20:58:22,1288,1288,0.279243000,0.269570300
322599:7144,09/09/18 17:12:13,61,61,0.023526385,0.021671667
322602:7144,09/09/18 17:40:01,67,67,0.025032163,0.023375069
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,274,274,0.091477668,0.088312339
322617:7144,09/09/18 21:13:20,595,595,0.140178660,0.135168205
322625:7145,09/10/18 04:25:23,979,979,0.293942243,0.283848436
322633:7145,09/10/18 10:51:34,247,247,0.052197454,0.050529050
323414:7213,09/24/18 01:57:29,22,22,0.004212754,0.003753504
323423:7213,09/24/18 05:01:48,131,131,0.021475307,0.020721494
323470:7217,09/24/18 14:51:34,60,60,0.022110719,0.021036199
323471:7217,09/24/18 15:18:19,232,232,0.080490088,0.075495647
323472:7217,09/24/18 16:51:04,57,57,0.018124254,0.017175490
323473:7217,09/24/18 17:40:41,199,199,0.056365719,0.053665352
323474:7217,09/24/18 19:42:20,239,239,0.055861794,0.054134477
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,372,372,0.132163827,0.127189085
323488:7218,09/25/18 06:30:08,738,738,0.191561685,0.184614834
323492:7218,09/25/18 11:45:43,28,28,0.006046351,0.005823197
323493:7218,09/25/18 11:58:37,139,139,0.028089522,0.027172544
323495:7218,09/25/18 12:54:31,186,186,0.033409290,0.032163592
323524:7221,09/25/18 22:36:20,529,529,0.179169097,0.172597233
323525:7221,09/26/18 02:05:25,1114,1114,0.250933944,0.241842996
323526:7221,09/26/18 09:22:43,462,462,0.066501059,0.064950697
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,257,257,0.093142025,0.088847729
323702:7234,09/29/18 08:56:34,803,803,0.149440644,0.145237015
323725:7236,09/29/18 19:37:19,167,167,0.062459411,0.058957421
