#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:46:44,111,111,0.006432786,0.006313743
320688:7006,08/01/18 15:33:26,356,356,0.100859237,0.097740579
320712:7008,08/02/18 03:01:43,159,159,0.057522549,0.055523129
320757:7013,08/02/18 15:09:24,245,245,0.089483205,0.086218380
320804:7017,08/03/18 07:30:11,1112,1112,0.300197105,0.290391208
320807:7017,08/03/18 15:29:09,1,1,0.000188838,0.000163873
320809:7017,08/03/18 15:43:36,542,542,0.083103894,0.081069613
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,407,407,0.119553460,0.115622900
320823:7018,08/04/18 04:34:31,355,355,0.081630625,0.078851319
320824:7018,08/04/18 06:55:49,1002,1002,0.161202731,0.157036878
320838:7020,08/04/18 17:51:47,202,202,0.074540980,0.071508451
320840:7020,08/04/18 19:20:14,435,435,0.135971021,0.130889469
320841:7020,08/04/18 22:26:03,200,200,0.051065739,0.049216166
320853:7024,08/05/18 07:44:40,157,157,0.057832681,0.056219251
320854:7024,08/05/18 08:59:06,111,111,0.036689822,0.035382086
320855:7024,08/05/18 09:50:43,408,408,0.111298244,0.107020512
320856:7024,08/05/18 13:41:31,129,129,0.027928091,0.026970119
320857:7024,08/05/18 14:39:57,270,270,0.054360000,0.052488497
320858:7024,08/05/18 16:27:33,171,171,0.029270744,0.028262359
320859:7024,08/05/18 18:00:16,39,39,0.004990137,0.004774132
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1586,1586,0.399850656,0.387576812
320920:7031,08/06/18 21:56:15,177,177,0.024532697,0.023879373
320933:7033,08/07/18 03:34:15,93,93,0.028571651,0.027091284
320934:7033,08/07/18 04:38:54,738,738,0.190983120,0.185075460
320936:7033,08/07/18 10:01:22,393,393,0.080207202,0.077735557
320941:7033,08/07/18 12:39:42,93,93,0.016178908,0.015638078
320995:7036,08/07/18 19:28:55,175,175,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,298,298,0.039007690,0.037564169
321004:7037,08/08/18 01:58:11,110,110,0.039102024,0.037637870
321005:7037,08/08/18 02:48:38,39,39,0.013676812,0.013109455
321006:7037,08/08/18 03:15:27,154,154,0.051406591,0.049379612
321007:7037,08/08/18 04:19:56,707,707,0.182161731,0.176297045
321009:7037,08/08/18 09:43:49,72,72,0.014128703,0.013757168
321010:7037,08/08/18 10:16:22,338,338,0.059051143,0.056941841
321011:7037,08/08/18 12:32:48,202,202,0.030175746,0.028528206
321012:7037,08/08/18 13:58:30,43,43,0.004989606,0.004715520
321051:7039,08/09/18 04:16:34,784,784,0.226389473,0.218094707
321055:7039,08/09/18 10:35:36,510,510,0.086317228,0.084314056
321067:7040,08/09/18 18:22:54,507,507,0.153843681,0.148360999
321068:7040,08/09/18 22:16:40,635,635,0.136456511,0.132939203
321069:7040,08/10/18 02:54:15,300,300,0.049170976,0.047469410
321121:7042,08/10/18 16:22:06,14,14,0.005152338,0.004680561
321122:7042,08/10/18 16:42:10,293,293,0.094526731,0.090476919
321124:7042,08/10/18 19:20:25,688,688,0.162595325,0.156662476
321126:7042,08/11/18 01:08:48,480,480,0.079064243,0.076776947
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:33:42,643,643,0.130710140,0.126389404
321140:7043,08/11/18 14:25:01,659,659,0.098549113,0.096306854
321149:7045,08/11/18 23:56:50,1176,1176,0.285206528,0.277824859
321167:7047,08/12/18 16:46:58,741,741,0.219061284,0.212298240
321177:7048,08/13/18 05:43:53,91,91,0.031883485,0.030722151
321178:7048,08/13/18 06:57:22,68,68,0.021687113,0.021171356
321218:7052,08/13/18 13:50:33,626,626,0.191366910,0.184544916
321219:7052,08/13/18 18:10:44,826,826,0.165480346,0.161145642
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,421,421,0.134695398,0.130771126
321294:7055,08/14/18 17:41:17,42,42,0.014884901,0.013674267
321295:7055,08/14/18 18:02:21,628,628,0.178800527,0.172530799
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:06:41,1886,1886,0.393901070,0.381357954
321312:7056,08/15/18 20:56:27,725,725,0.058595771,0.057372632
321313:7056,08/16/18 01:56:27,388,388,0.025674429,0.025316299
321396:7058,08/17/18 06:53:12,1102,1102,0.269113934,0.259282065
321397:7058,08/17/18 16:11:03,333,333,0.048949414,0.047619374
321414:7061,08/17/18 23:35:58,721,721,0.205246384,0.197961384
321415:7061,08/18/18 05:21:42,722,722,0.132437045,0.128772983
321433:7063,08/18/18 15:36:31,68,68,0.024366746,0.022563336
321434:7063,08/18/18 16:07:00,593,593,0.173379790,0.168345721
321436:7063,08/18/18 20:20:52,662,662,0.132444115,0.129191111
321457:7065,08/19/18 09:40:10,1404,1404,0.342917282,0.331574506
321461:7065,08/19/18 19:38:10,119,119,0.017253422,0.016789268
321475:7069,08/20/18 02:28:13,1635,1635,0.381957659,0.368885258
321712:7078,08/23/18 13:48:04,236,236,0.084038920,0.080662341
321730:7080,08/23/18 22:26:17,83,83,0.031590077,0.028866685
321732:7080,08/23/18 23:11:04,1257,1257,0.321047044,0.308906094
321735:7080,08/24/18 08:34:37,142,142,0.023637317,0.022965356
321755:7083,08/24/18 16:26:11,194,194,0.056440277,0.054707772
321758:7083,08/24/18 18:21:07,122,122,0.031214644,0.030311313
321760:7083,08/24/18 19:46:02,717,717,0.133793538,0.130085086
321774:7087,08/25/18 13:13:44,40,40,0.015197231,0.014392478
321775:7087,08/25/18 13:36:11,12,12,0.004580492,0.004437364
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
