#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
315974:6659,05/09/18 05:24:55,51,51,0.013629435,0.013326336
316060:6662,05/10/18 04:17:57,716,716,0.147160295,0.143041158
316114:6666,05/11/18 04:24:39,836,836,0.163319721,0.159365594
316153:6672,05/11/18 19:35:08,311,311,0.093137835,0.090455102
316187:6674,05/12/18 06:41:22,1448,1448,0.336499819,0.321841991
316199:6675,05/12/18 23:15:06,495,495,0.148679110,0.143388744
316200:6675,05/13/18 02:29:14,9,9,0.002372987,0.002226180
316201:6675,05/13/18 02:36:34,491,491,0.114515356,0.110093155
316202:6675,05/13/18 05:53:19,403,403,0.077434166,0.075106131
316217:6677,05/13/18 16:18:05,76,76,0.025016780,0.024100747
316218:6677,05/13/18 16:52:47,1008,1008,0.250380950,0.243232708
316219:6677,05/13/18 23:33:19,283,283,0.050387980,0.048978441
316239:6681,05/14/18 09:16:30,64,64,0.021060397,0.019420244
316240:6681,05/14/18 09:45:29,1221,1221,0.292862603,0.283373391
316241:6681,05/14/18 17:44:39,325,325,0.055296179,0.053194396
316362:6688,05/15/18 20:07:09,191,191,0.023778600,0.022803826
316363:6688,05/15/18 21:30:58,45,45,0.004602020,0.004497622
316380:6690,05/16/18 05:22:31,818,818,0.109719417,0.107097496
316457:6693,05/16/18 19:42:45,1066,1066,0.222808023,0.216776483
316470:6694,05/17/18 11:54:09,476,476,0.121011471,0.116869505
316472:6694,05/17/18 15:00:34,328,328,0.068118293,0.066237151
316505:6696,05/18/18 03:47:23,797,797,0.217984047,0.211438869
316569:6700,05/19/18 04:31:12,1538,1538,0.369582119,0.360196973
316590:6702,05/19/18 23:52:58,53,53,0.017644579,0.017042377
316666:6709,05/20/18 23:01:52,795,795,0.224558429,0.217473168
316667:6709,05/21/18 04:15:41,197,197,0.043606324,0.042140099
316701:6710,05/21/18 14:52:10,372,372,0.113821704,0.110074617
316702:6710,05/21/18 17:21:19,388,388,0.098397047,0.095461886
316717:6711,05/22/18 03:29:51,72,72,0.024049085,0.023184914
316718:6711,05/22/18 04:00:35,311,311,0.093701986,0.090222571
316719:6711,05/22/18 06:17:36,131,131,0.034123232,0.032449482
316720:6711,05/22/18 07:16:06,182,182,0.043150675,0.041732114
316721:6711,05/22/18 08:29:42,15,15,0.003344665,0.003260078
316722:6711,05/22/18 08:45:58,747,747,0.139195048,0.134760529
316723:6711,05/22/18 13:38:48,64,64,0.009830576,0.009621132
316758:6712,05/22/18 19:59:12,1094,1094,0.279332096,0.270815480
316766:6714,05/23/18 09:18:58,1611,1611,0.374136185,0.362016156
316876:6719,05/25/18 02:03:09,45,45,0.015389327,0.006874511
316877:6719,05/25/18 03:18:15,394,394,0.114907008,0.111051479
316879:6719,05/25/18 06:01:59,154,154,0.038022339,0.036513150
316928:6724,05/25/18 17:37:21,131,131,0.039594571,0.038433136
316995:6733,05/28/18 05:39:30,538,538,0.162097440,0.157114588
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#23,42,20290,20290,4.798259919,4.637303709
#Check JSON:
#(run,ls) in json but not in results: []
