#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 09:55:06,244,244,0.013404193,0.013182599
320688:7006,08/01/18 15:33:26,459,459,0.129791839,0.125533741
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,251,251,0.091703454,0.088381836
320804:7017,08/03/18 07:30:11,1201,1201,0.324188183,0.313239958
320807:7017,08/03/18 15:28:46,2,2,0.000377819,0.000348394
320809:7017,08/03/18 15:43:13,713,713,0.108481455,0.105755485
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,522,522,0.154770094,0.149814403
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,1049,1049,0.168006335,0.163668078
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,465,465,0.145042973,0.139566561
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,182,182,0.066572730,0.064587496
320854:7024,08/05/18 08:59:06,124,124,0.041082853,0.039644924
320855:7024,08/05/18 09:50:43,565,565,0.151991410,0.146559259
320856:7024,08/05/18 13:36:28,159,159,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,272,272,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,230,230,0.039032500,0.037521088
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1801,1801,0.445752103,0.432466608
320920:7031,08/06/18 21:56:15,178,178,0.024669249,0.024013428
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,822,822,0.216528804,0.210000468
320936:7033,08/07/18 10:01:22,396,396,0.080803486,0.078319998
320941:7033,08/07/18 12:39:42,93,93,0.016178908,0.015638078
320995:7036,08/07/18 19:28:55,175,175,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,376,376,0.050076867,0.048288004
321004:7037,08/08/18 01:58:11,115,115,0.040856398,0.039348196
321005:7037,08/08/18 02:48:15,57,57,0.019956525,0.019195813
321006:7037,08/08/18 03:15:04,161,161,0.053740190,0.051372439
321007:7037,08/08/18 04:19:56,827,827,0.209248687,0.202763102
321009:7037,08/08/18 09:43:25,77,77,0.015125928,0.014732928
321010:7037,08/08/18 10:16:22,331,331,0.057877251,0.055713244
321011:7037,08/08/18 12:32:48,201,201,0.030050805,0.027776226
321012:7037,08/08/18 13:58:30,46,46,0.005253617,0.004974448
321051:7039,08/09/18 04:16:34,941,941,0.265506186,0.255456205
321055:7039,08/09/18 10:35:36,729,729,0.128263674,0.125350601
321067:7040,08/09/18 18:22:54,551,551,0.167388988,0.161704779
321068:7040,08/09/18 22:16:40,704,704,0.150905637,0.146957925
321069:7040,08/10/18 02:54:15,308,308,0.050489190,0.048962014
321121:7042,08/10/18 16:22:52,43,43,0.015886217,0.015200216
321122:7042,08/10/18 16:42:10,385,385,0.125162266,0.120346156
321124:7042,08/10/18 19:20:25,781,781,0.183608962,0.177198659
321126:7042,08/11/18 01:08:48,479,479,0.078880608,0.076596813
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,724,724,0.146942406,0.141976762
321140:7043,08/11/18 14:25:01,792,792,0.118711379,0.115990534
321149:7045,08/11/18 23:56:50,1456,1456,0.358695056,0.349008100
321167:7047,08/12/18 16:46:58,775,775,0.228798068,0.221706589
321177:7048,08/13/18 05:43:53,99,99,0.034677832,0.033442817
321178:7048,08/13/18 06:57:22,74,74,0.023596124,0.023034517
321218:7052,08/13/18 13:50:33,645,645,0.197846353,0.190861866
321219:7052,08/13/18 18:10:44,892,892,0.177851383,0.173031097
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,566,566,0.177121576,0.172095099
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,724,724,0.206172951,0.199065674
321296:7055,08/14/18 22:55:44,54,54,0.011958007,0.011449562
321305:7056,08/15/18 04:05:54,2282,2282,0.487990896,0.473017102
321312:7056,08/15/18 20:56:27,750,750,0.060641852,0.059473264
321313:7056,08/16/18 01:56:27,402,402,0.026555456,0.026186523
321396:7058,08/17/18 06:53:12,1384,1384,0.348377112,0.335839318
321397:7058,08/17/18 16:11:03,261,261,0.039776914,0.038683683
321414:7061,08/17/18 23:33:38,687,687,0.186842185,0.180273589
321415:7061,08/18/18 05:21:19,802,802,0.145798289,0.141782267
321433:7063,08/18/18 15:35:44,69,69,0.024752775,0.022928749
321434:7063,08/18/18 16:07:00,594,594,0.171945762,0.166885620
321436:7063,08/18/18 20:20:52,478,478,0.096154541,0.093759525
321457:7065,08/19/18 09:40:10,1529,1529,0.377932387,0.365235552
321461:7065,08/19/18 19:38:10,149,149,0.021566306,0.021013094
321475:7069,08/20/18 02:27:49,1872,1872,0.431526515,0.416920908
321712:7078,08/23/18 13:48:04,242,242,0.086124447,0.082679940
321730:7080,08/23/18 22:26:17,84,84,0.031992835,0.029613856
321732:7080,08/23/18 23:11:27,1382,1382,0.352302582,0.340250243
321735:7080,08/24/18 08:34:37,143,143,0.023813116,0.023136986
321755:7083,08/24/18 16:26:11,276,276,0.080168387,0.077849212
321758:7083,08/24/18 18:21:07,152,152,0.038637372,0.037517590
321760:7083,08/24/18 19:45:38,783,783,0.146739938,0.142565517
321774:7087,08/25/18 13:13:44,40,40,0.015185769,0.014382341
321775:7087,08/25/18 13:36:11,13,13,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
321777:7087,08/25/18 14:14:59,187,187,0.063976900,0.058616866
321778:7087,08/25/18 16:07:27,126,126,0.037049434,0.035947031
321780:7087,08/25/18 17:04:57,481,481,0.116933559,0.113674716
321781:7087,08/25/18 20:38:11,371,371,0.068648407,0.066145248
321813:7090,08/26/18 10:30:34,140,140,0.052042204,0.049817423
321815:7090,08/26/18 12:01:16,23,23,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,527,527,0.151064513,0.146294183
321818:7090,08/26/18 15:50:06,600,600,0.123977322,0.119947502
321820:7090,08/26/18 20:26:15,189,189,0.028944350,0.028223503
321831:7091,08/27/18 01:07:29,600,600,0.200159021,0.191972986
321832:7091,08/27/18 05:06:22,477,477,0.116415837,0.112954647
321833:7091,08/27/18 08:27:00,355,355,0.068771694,0.066465106
321834:7091,08/27/18 11:05:28,294,294,0.045348406,0.043731607
321879:7092,08/27/18 18:05:52,233,233,0.086041879,0.081804375
321880:7092,08/27/18 20:01:46,130,130,0.042742253,0.041375820
321887:7095,08/28/18 01:49:32,772,772,0.241975375,0.232570804
321908:7097,08/28/18 14:34:10,285,285,0.101896340,0.097556987
