#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
319337:6901,07/08/18 02:05:51,1576,1576,0.148889812,0.145385300
319347:6904,07/08/18 20:22:04,363,363,0.122908604,0.107803366
319348:6904,07/09/18 00:07:18,37,37,0.010960648,0.005006475
319349:6904,07/09/18 00:23:34,147,147,0.041679852,0.040564566
319449:6909,07/09/18 21:54:19,549,549,0.202329289,0.195861896
319450:6909,07/10/18 01:32:44,624,624,0.194010537,0.189010721
319456:6909,07/10/18 07:12:33,170,170,0.043775955,0.042512408
319459:6909,07/10/18 08:32:35,78,78,0.017641441,0.017212101
319503:6911,07/11/18 17:34:16,308,308,0.091971644,0.088200892
319524:6912,07/11/18 23:56:04,1195,1195,0.383522601,0.371756357
319526:6912,07/12/18 08:14:19,282,282,0.071759686,0.069659575
319528:6912,07/12/18 10:12:58,105,105,0.025207333,0.024497434
319579:6919,07/13/18 06:14:58,2814,2814,0.734054361,0.712692626
319639:6923,07/14/18 19:43:07,1345,1345,0.372693142,0.361379332
319656:6924,07/15/18 07:57:29,173,173,0.061939398,0.059243749
319657:6924,07/15/18 09:09:07,167,167,0.053752827,0.051824096
319658:6924,07/15/18 10:17:14,221,221,0.063644440,0.061716393
319659:6924,07/15/18 11:50:26,87,87,0.022608350,0.021787667
319678:6925,07/15/18 16:16:33,114,114,0.042354867,0.041098538
319697:6929,07/16/18 02:17:40,434,434,0.062388862,0.060239939
319698:6929,07/16/18 05:13:10,312,312,0.037203705,0.036295265
319756:6931,07/16/18 16:30:22,1720,1720,0.435620438,0.421124171
319840:6939,07/17/18 22:27:53,346,346,0.050944257,0.049412213
319841:6939,07/18/18 00:44:33,163,163,0.020631317,0.020099830
319849:6940,07/18/18 05:22:02,348,348,0.122652370,0.118751635
319851:6940,07/18/18 07:46:30,4,4,0.001250205,0.001137038
319853:6940,07/18/18 08:01:32,256,256,0.073307576,0.071203488
319854:6940,07/18/18 09:44:34,225,225,0.055235129,0.053716327
319910:6942,07/19/18 03:50:08,874,874,0.271995615,0.262487008
319912:6942,07/19/18 09:34:41,57,57,0.013686194,0.012963779
319913:6942,07/19/18 10:00:10,52,52,0.012088479,0.011798799
319914:6942,07/19/18 10:23:59,29,29,0.006567720,0.006326868
319915:6942,07/19/18 10:37:23,415,415,0.088724189,0.086591036
319941:6944,07/19/18 21:28:33,26,26,0.009681048,0.008776301
319942:6944,07/19/18 21:41:30,50,50,0.017942823,0.017468906
319991:6953,07/20/18 17:39:58,551,551,0.178168358,0.172276587
319992:6953,07/20/18 21:15:39,253,253,0.065641310,0.063451842
319993:6953,07/20/18 23:01:06,837,837,0.161627771,0.157249098
320006:6956,07/21/18 09:52:45,321,321,0.110818615,0.107277266
320010:6956,07/21/18 14:28:52,327,327,0.075901690,0.073959029
320011:6956,07/21/18 16:38:02,299,299,0.062514304,0.060724528
320012:6956,07/21/18 18:38:20,99,99,0.018711964,0.018060690
320023:6957,07/21/18 22:29:23,131,131,0.048593845,0.045160786
320024:6957,07/21/18 23:21:36,409,409,0.130155390,0.126440980
320025:6957,07/22/18 02:03:20,112,112,0.030947834,0.030113234
320026:6957,07/22/18 02:49:54,204,204,0.051564606,0.050085703
320038:6960,07/22/18 08:45:25,371,371,0.127923473,0.123156354
320039:6960,07/22/18 11:13:45,28,28,0.008538561,0.008200272
320040:6960,07/22/18 11:29:06,737,737,0.183359086,0.177428533
320060:6961,07/22/18 19:32:08,29,29,0.011350983,0.010846772
320061:6961,07/22/18 19:46:28,49,49,0.019093724,0.018270053
320062:6961,07/22/18 20:06:50,21,21,0.008000755,0.006956471
320063:6961,07/22/18 20:17:40,62,62,0.022963134,0.022166104
320064:6961,07/22/18 20:48:07,198,198,0.067731958,0.064855495
320065:6961,07/22/18 22:09:30,915,915,0.233818999,0.226663664
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#20,55,21619,21619,5.603051072,5.408949555
#Check JSON:
#(run,ls) in json but not in results: []
