#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,586,586,0.033489554,0.032939506
320688:7006,08/01/18 15:33:26,459,459,0.129791839,0.125533741
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,251,251,0.091703454,0.088381836
320804:7017,08/03/18 07:30:11,1200,1200,0.322889907,0.312147317
320807:7017,08/03/18 15:28:46,3,3,0.000566237,0.000348402
320809:7017,08/03/18 15:43:13,716,716,0.109016947,0.106230704
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,507,507,0.150231892,0.145381055
320823:7018,08/04/18 04:34:31,319,319,0.073254487,0.070673992
320824:7018,08/04/18 06:55:49,1036,1036,0.165445737,0.161164523
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,462,462,0.143994983,0.138549156
320841:7020,08/04/18 22:26:03,186,186,0.047654951,0.045902203
320853:7024,08/05/18 07:44:40,97,97,0.035491838,0.034399967
320854:7024,08/05/18 08:59:52,119,119,0.039408592,0.038173846
320855:7024,08/05/18 09:50:43,558,558,0.149940956,0.144991341
320856:7024,08/05/18 13:36:28,159,159,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,272,272,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,228,228,0.038695022,0.037190966
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1708,1708,0.421890618,0.409295052
320920:7031,08/06/18 21:56:15,178,178,0.024669249,0.024013428
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,793,793,0.209362563,0.202990953
320936:7033,08/07/18 10:01:22,341,341,0.069736372,0.067954296
320941:7033,08/07/18 12:39:42,77,77,0.013875576,0.013387919
320995:7036,08/07/18 19:28:55,162,162,0.025165068,0.024117959
320996:7036,08/07/18 20:42:30,329,329,0.043443528,0.041841106
321004:7037,08/08/18 01:58:11,83,83,0.029348307,0.028148643
321005:7037,08/08/18 02:48:15,46,46,0.016017439,0.015367452
321006:7037,08/08/18 03:15:04,144,144,0.047955756,0.046049428
321007:7037,08/08/18 04:19:56,752,752,0.190879989,0.184924077
321009:7037,08/08/18 09:43:25,75,75,0.014728869,0.014343944
321010:7037,08/08/18 10:16:22,338,338,0.059044050,0.056914337
321011:7037,08/08/18 12:32:48,209,209,0.031247675,0.028948830
321012:7037,08/08/18 13:58:30,45,45,0.005145532,0.004868089
321051:7039,08/09/18 04:16:34,934,934,0.265046817,0.254994790
321055:7039,08/09/18 10:35:36,701,701,0.122587466,0.119808704
321067:7040,08/09/18 18:22:54,539,539,0.162977153,0.157697874
321068:7040,08/09/18 22:16:40,697,697,0.149179129,0.145271094
321069:7040,08/10/18 02:54:15,293,293,0.047938650,0.046264798
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,385,385,0.125162266,0.120346156
321124:7042,08/10/18 19:20:25,814,814,0.191897227,0.185307787
321126:7042,08/11/18 01:08:48,472,472,0.077812802,0.075553417
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,681,681,0.137889306,0.133371350
321140:7043,08/11/18 14:25:01,735,735,0.110697380,0.108142600
321149:7045,08/11/18 23:56:50,1404,1404,0.346672463,0.337259688
321167:7047,08/12/18 16:46:58,725,725,0.214698113,0.208024884
321177:7048,08/13/18 05:43:53,93,93,0.032574149,0.031391965
321178:7048,08/13/18 06:57:22,73,73,0.023279231,0.022725083
321218:7052,08/13/18 13:50:33,527,527,0.158794988,0.153869361
321219:7052,08/13/18 18:10:44,927,927,0.185625614,0.180615575
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,564,564,0.176570952,0.171556266
321294:7055,08/14/18 17:41:17,46,46,0.016299819,0.015031394
321295:7055,08/14/18 18:01:35,704,704,0.199987587,0.193332789
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:05:54,2145,2145,0.448820780,0.435308162
321312:7056,08/15/18 20:56:27,753,753,0.060866179,0.059610406
321313:7056,08/16/18 01:56:27,356,356,0.023601033,0.023269754
321396:7058,08/17/18 06:53:12,1350,1350,0.340454631,0.328084881
321397:7058,08/17/18 16:11:03,350,350,0.051277645,0.049901765
321414:7061,08/17/18 23:32:05,867,867,0.249285058,0.240626643
321415:7061,08/18/18 05:21:19,783,783,0.143126236,0.139167524
321433:7063,08/18/18 15:35:44,71,71,0.025465029,0.023623756
321434:7063,08/18/18 16:07:00,597,597,0.174132610,0.168897022
321436:7063,08/18/18 20:20:52,697,697,0.139188976,0.135631349
321457:7065,08/19/18 09:40:10,1432,1432,0.355286527,0.343263453
321461:7065,08/19/18 19:38:10,124,124,0.017910983,0.017433434
321475:7069,08/20/18 02:27:49,1805,1805,0.410069095,0.396244981
321712:7078,08/23/18 13:48:04,242,242,0.086124447,0.082679940
321730:7080,08/23/18 22:26:17,85,85,0.032362729,0.029613948
321732:7080,08/23/18 23:11:04,1359,1359,0.347374522,0.334391823
321735:7080,08/24/18 08:34:37,143,143,0.023813116,0.023136986
321755:7083,08/24/18 16:26:11,234,234,0.067653396,0.065657420
321758:7083,08/24/18 18:21:07,130,130,0.033012615,0.032028312
321760:7083,08/24/18 19:45:38,739,739,0.138619425,0.134670075
321774:7087,08/25/18 13:13:44,42,42,0.015956885,0.015131543
321775:7087,08/25/18 13:36:11,13,13,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
321777:7087,08/25/18 14:14:59,181,181,0.061912159,0.056712732
321778:7087,08/25/18 16:07:27,93,93,0.027463138,0.026451609
321780:7087,08/25/18 17:04:57,477,477,0.115896506,0.112663005
321781:7087,08/25/18 20:38:11,338,338,0.063410943,0.061035439
321813:7090,08/26/18 10:30:34,136,136,0.050542171,0.048368427
321815:7090,08/26/18 12:01:16,23,23,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,530,530,0.151933857,0.147138124
321818:7090,08/26/18 15:50:06,660,660,0.136952563,0.132652325
321820:7090,08/26/18 20:26:15,214,214,0.032880906,0.032068958
321831:7091,08/27/18 01:07:29,596,596,0.198960434,0.190803729
321832:7091,08/27/18 05:06:22,488,488,0.119014810,0.115494273
321833:7091,08/27/18 08:27:00,392,392,0.075732284,0.073243294
321834:7091,08/27/18 11:05:28,333,333,0.051569711,0.049809506
321879:7092,08/27/18 18:05:52,234,234,0.086416526,0.082239652
321880:7092,08/27/18 20:01:46,130,130,0.042742253,0.041375820
321887:7095,08/28/18 01:49:32,776,776,0.243259402,0.233806493
321908:7097,08/28/18 14:34:10,283,283,0.101225531,0.096903870
321909:7097,08/28/18 16:31:34,1641,1641,0.349316226,0.338566033
321917:7098,08/29/18 06:33:33,614,614,0.199992622,0.192864519
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,170,170,0.062838620,0.060198021
321973:7105,08/30/18 10:48:13,1022,1022,0.302814906,0.291382201
321975:7105,08/30/18 17:37:18,829,829,0.145364773,0.140497833
321988:7108,08/31/18 05:01:45,959,959,0.265790307,0.256122696
321990:7108,08/31/18 13:16:37,470,470,0.083208079,0.080915217
322022:7110,08/31/18 22:04:41,1579,1579,0.408629092,0.394312803
322068:7117,09/02/18 04:06:01,431,431,0.147235050,0.141134170
322079:7118,09/02/18 13:17:53,83,83,0.031599067,0.030058912
322106:7120,09/02/18 23:29:07,526,526,0.172862834,0.166801494
322118:7122,09/03/18 08:05:17,722,722,0.223350625,0.215159937
322179:7123,09/03/18 17:53:40,1501,1501,0.398720887,0.384234916
322204:7124,09/04/18 07:30:01,1096,1096,0.312277358,0.299710272
322222:7124,09/04/18 14:53:45,520,520,0.095329695,0.091793079
322252:7125,09/04/18 21:22:57,1294,1294,0.353849112,0.341667402
322319:7127,09/05/18 12:39:05,60,60,0.023375538,0.021662394
322322:7127,09/05/18 13:29:27,1078,1078,0.296174545,0.285523262
322324:7127,09/05/18 21:27:53,396,396,0.067965412,0.065985239
322332:7128,09/06/18 03:19:33,816,816,0.248192112,0.238948415
322348:7131,09/06/18 14:41:32,1315,1315,0.370406524,0.356488657
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,723,723,0.224807679,0.217491662
322381:7133,09/07/18 11:48:13,422,422,0.144346581,0.138286304
322407:7135,09/07/18 18:04:27,373,373,0.123189452,0.116960387
322430:7137,09/08/18 02:10:36,300,300,0.104257403,0.100765324
322431:7137,09/08/18 06:34:56,1022,1022,0.202341019,0.195935738
322480:7139,09/08/18 17:40:13,274,274,0.096170887,0.090669028
322492:7139,09/08/18 20:58:22,1354,1354,0.290766818,0.281011351
322599:7144,09/09/18 17:12:13,59,59,0.022744559,0.020919172
322602:7144,09/09/18 17:40:01,69,69,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,273,273,0.091199464,0.088039610
322617:7144,09/09/18 21:13:20,591,591,0.139138309,0.134366390
322625:7145,09/10/18 04:25:23,949,949,0.286424749,0.276440133
322633:7145,09/10/18 10:51:34,244,244,0.051600851,0.050010812
323414:7213,09/24/18 01:57:29,23,23,0.004416129,0.003946606
323423:7213,09/24/18 05:01:48,127,127,0.020809079,0.020069573
323470:7217,09/24/18 14:51:34,60,60,0.022110719,0.021036199
323471:7217,09/24/18 15:18:19,218,218,0.075586492,0.071335722
323472:7217,09/24/18 16:51:04,62,62,0.019699349,0.018700419
323473:7217,09/24/18 17:41:51,169,169,0.047721297,0.046322546
323474:7217,09/24/18 19:42:20,346,346,0.078993758,0.076799784
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,364,364,0.129354029,0.124470953
323488:7218,09/25/18 06:30:08,709,709,0.184813551,0.178082090
323492:7218,09/25/18 11:45:43,28,28,0.006046351,0.005823197
323493:7218,09/25/18 11:58:37,135,135,0.027258354,0.026365562
323495:7218,09/25/18 12:54:31,186,186,0.033410303,0.032164551
323524:7221,09/25/18 22:36:20,518,518,0.175675685,0.169202923
323525:7221,09/26/18 02:05:25,1018,1018,0.228549271,0.220055247
323526:7221,09/26/18 09:22:43,438,438,0.062928721,0.061454951
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,257,257,0.093142025,0.088847729
323702:7234,09/29/18 08:56:34,800,800,0.148596593,0.144427708
323725:7236,09/29/18 19:37:19,167,167,0.062452580,0.059118386
