#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,586,586,0.033489554,0.032939506
320688:7006,08/01/18 15:33:26,459,459,0.129791839,0.125533741
320712:7008,08/02/18 03:01:43,161,161,0.058246413,0.056230543
320757:7013,08/02/18 15:09:24,251,251,0.091703454,0.088381836
320804:7017,08/03/18 07:30:11,1219,1219,0.327877621,0.316847521
320807:7017,08/03/18 15:28:46,3,3,0.000566237,0.000348402
320809:7017,08/03/18 15:43:13,716,716,0.109016947,0.106230704
320821:7018,08/04/18 00:08:01,154,154,0.055283911,0.053106213
320822:7018,08/04/18 01:09:16,520,520,0.154091382,0.149151480
320823:7018,08/04/18 04:34:31,360,360,0.082833312,0.080025311
320824:7018,08/04/18 06:55:49,1051,1051,0.168366394,0.164020053
320838:7020,08/04/18 17:51:47,210,210,0.077471865,0.074090343
320840:7020,08/04/18 19:20:14,466,466,0.145326614,0.139843771
320841:7020,08/04/18 22:26:03,205,205,0.052347637,0.050468155
320853:7024,08/05/18 07:44:40,182,182,0.066572730,0.064587496
320854:7024,08/05/18 08:59:06,124,124,0.041082853,0.039644924
320855:7024,08/05/18 09:50:43,565,565,0.151991410,0.146559259
320856:7024,08/05/18 13:36:28,159,159,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,272,272,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,230,230,0.039032500,0.037521088
320859:7024,08/05/18 18:00:16,40,40,0.005145820,0.004926672
320887:7026,08/06/18 00:09:29,39,39,0.014964884,0.014504618
320888:7026,08/06/18 00:26:10,26,26,0.009764263,0.009500190
320917:7031,08/06/18 10:03:21,1827,1827,0.453567663,0.440080338
320920:7031,08/06/18 21:56:15,178,178,0.024669249,0.024013428
320933:7033,08/07/18 03:34:15,159,159,0.050026103,0.047995414
320934:7033,08/07/18 04:38:31,824,824,0.216999585,0.210460582
320936:7033,08/07/18 10:01:22,396,396,0.080803486,0.078319998
320941:7033,08/07/18 12:39:42,93,93,0.016178908,0.015638078
320995:7036,08/07/18 19:28:55,146,146,0.022324308,0.021345209
320996:7036,08/07/18 20:42:30,366,366,0.048645954,0.046892963
321004:7037,08/08/18 01:58:11,114,114,0.040483999,0.038985022
321005:7037,08/08/18 02:48:15,57,57,0.019956525,0.019195813
321006:7037,08/08/18 03:15:04,162,162,0.054086088,0.051704227
321007:7037,08/08/18 04:19:56,826,826,0.209018833,0.202538476
321009:7037,08/08/18 09:43:25,77,77,0.015125928,0.014732928
321010:7037,08/08/18 10:16:22,340,340,0.059403962,0.057206632
321011:7037,08/08/18 12:32:48,209,209,0.031247675,0.028948830
321012:7037,08/08/18 13:58:30,46,46,0.005253617,0.004974448
321051:7039,08/09/18 04:16:34,949,949,0.268373949,0.258246248
321055:7039,08/09/18 10:35:36,729,729,0.128263674,0.125350601
321067:7040,08/09/18 18:22:54,586,586,0.177362964,0.171331026
321068:7040,08/09/18 22:16:40,703,703,0.150668139,0.146725884
321069:7040,08/10/18 02:54:15,312,312,0.051125624,0.049382089
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,370,370,0.120502009,0.115802243
321124:7042,08/10/18 19:20:25,808,808,0.190312076,0.183768029
321126:7042,08/11/18 01:08:48,474,474,0.078148119,0.075881539
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,722,722,0.146477294,0.141762250
321140:7043,08/11/18 14:25:01,794,794,0.119090383,0.116358540
321149:7045,08/11/18 23:56:50,1453,1453,0.356636768,0.347108056
321167:7047,08/12/18 16:46:58,776,776,0.229081063,0.221979691
321177:7048,08/13/18 05:43:53,98,98,0.034335420,0.033112811
321178:7048,08/13/18 06:57:22,74,74,0.023596124,0.023034517
321218:7052,08/13/18 13:50:33,650,650,0.199160610,0.192144382
321219:7052,08/13/18 18:10:44,930,930,0.186211343,0.181189493
321221:7052,08/14/18 00:13:21,40,40,0.006038613,0.005906206
321233:7053,08/14/18 05:50:28,566,566,0.177121576,0.172095099
321294:7055,08/14/18 17:41:17,48,48,0.017015793,0.015706828
321295:7055,08/14/18 18:01:35,734,734,0.208661372,0.201490287
321296:7055,08/14/18 22:55:44,56,56,0.012397914,0.011876596
321305:7056,08/15/18 04:05:54,2302,2302,0.493834097,0.478720140
321312:7056,08/15/18 20:56:27,757,757,0.061171287,0.059911310
321313:7056,08/16/18 01:56:27,405,405,0.026749061,0.026377729
321396:7058,08/17/18 06:53:12,1409,1409,0.355796141,0.343067285
321397:7058,08/17/18 16:11:03,353,353,0.051748088,0.050360113
321414:7061,08/17/18 23:32:05,887,887,0.255240450,0.246409695
321415:7061,08/18/18 05:21:19,802,802,0.145798289,0.141782267
321433:7063,08/18/18 15:35:44,71,71,0.025465029,0.023623756
321434:7063,08/18/18 16:07:00,637,637,0.186426959,0.180882406
321436:7063,08/18/18 20:20:52,710,710,0.142079561,0.138441929
321457:7065,08/19/18 09:40:10,1529,1529,0.377932387,0.365235552
321461:7065,08/19/18 19:38:10,149,149,0.021566306,0.021013094
321475:7069,08/20/18 02:27:49,1879,1879,0.433815269,0.419224667
321712:7078,08/23/18 13:48:04,238,238,0.084770094,0.081368623
321730:7080,08/23/18 22:26:17,83,83,0.031603693,0.028882499
321732:7080,08/23/18 23:11:04,1401,1401,0.356281852,0.343005103
321735:7080,08/24/18 08:34:37,143,143,0.023813116,0.023136986
321755:7083,08/24/18 16:26:11,279,279,0.081022627,0.078679195
321758:7083,08/24/18 18:21:07,152,152,0.038637372,0.037517590
321760:7083,08/24/18 19:45:38,803,803,0.150161452,0.145836237
321774:7087,08/25/18 13:13:44,42,42,0.015956885,0.015131543
321775:7087,08/25/18 13:36:11,13,13,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,29,29,0.010628238,0.010304681
321777:7087,08/25/18 14:14:59,169,169,0.057865504,0.052672735
321778:7087,08/25/18 16:07:27,126,126,0.037040715,0.035776654
321780:7087,08/25/18 17:04:57,481,481,0.116933559,0.113674716
321781:7087,08/25/18 20:38:11,380,380,0.070570108,0.068009102
321813:7090,08/26/18 10:30:34,140,140,0.052042204,0.049817423
321815:7090,08/26/18 12:01:16,23,23,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,525,525,0.150151244,0.145409182
321818:7090,08/26/18 15:50:06,688,688,0.142544177,0.138015377
321820:7090,08/26/18 20:26:15,214,214,0.032880906,0.032068958
321831:7091,08/27/18 01:07:29,564,564,0.187906868,0.180211789
321832:7091,08/27/18 05:06:22,489,489,0.119245292,0.115716039
321833:7091,08/27/18 08:27:00,397,397,0.076706991,0.074190773
321834:7091,08/27/18 11:05:28,333,333,0.051569711,0.049809506
321879:7092,08/27/18 18:05:52,234,234,0.086405105,0.082154141
321880:7092,08/27/18 20:01:46,129,129,0.042406046,0.041048435
321887:7095,08/28/18 01:49:32,727,727,0.226228030,0.217524316
321908:7097,08/28/18 14:34:10,285,285,0.101896340,0.097556987
321909:7097,08/28/18 16:31:57,1650,1650,0.350864412,0.340089066
321917:7098,08/29/18 06:32:23,607,607,0.198710268,0.191258936
321919:7098,08/29/18 10:38:52,6,6,0.001642874,0.001488823
321933:7099,08/29/18 14:50:48,175,175,0.064306654,0.061733207
321961:7101,08/29/18 22:54:31,149,149,0.055011758,0.052878436
321973:7105,08/30/18 10:48:13,1015,1015,0.298825486,0.287503691
321975:7105,08/30/18 17:37:18,863,863,0.150309928,0.145324911
321988:7108,08/31/18 05:01:45,1143,1143,0.327188317,0.314902002
321990:7108,08/31/18 13:16:37,471,471,0.083326865,0.081031948
322022:7110,08/31/18 22:04:41,1571,1571,0.403511891,0.389404194
322068:7117,09/02/18 04:06:01,447,447,0.153157432,0.146741426
322079:7118,09/02/18 13:17:53,83,83,0.031599067,0.030058912
322106:7120,09/02/18 23:29:53,478,478,0.155513590,0.150359426
322118:7122,09/03/18 08:06:04,716,716,0.222284512,0.213883169
322179:7123,09/03/18 17:53:40,1526,1526,0.404123987,0.389518377
322204:7124,09/04/18 07:30:01,1096,1096,0.312370137,0.300141496
322222:7124,09/04/18 14:53:45,525,525,0.096098561,0.092542601
322252:7125,09/04/18 21:22:57,1357,1357,0.370020962,0.356096544
322319:7127,09/05/18 12:39:05,60,60,0.023375538,0.021662394
322322:7127,09/05/18 13:29:27,1091,1091,0.298388600,0.287643668
322324:7127,09/05/18 21:27:53,407,407,0.069782844,0.067761865
322332:7128,09/06/18 03:19:33,789,789,0.241305897,0.232031487
322348:7131,09/06/18 14:41:32,1257,1257,0.350198292,0.336874291
322355:7132,09/07/18 01:39:53,11,11,0.004285599,0.003888166
322356:7132,09/07/18 01:45:19,727,727,0.225294843,0.217776994
322381:7133,09/07/18 11:48:13,424,424,0.145301123,0.139208554
322407:7135,09/07/18 18:04:27,486,486,0.161319921,0.153274529
322430:7137,09/08/18 02:10:36,311,311,0.107849705,0.104248842
322431:7137,09/08/18 06:34:56,1101,1101,0.220294710,0.213019766
322480:7139,09/08/18 17:40:13,287,287,0.100943979,0.095259119
322492:7139,09/08/18 20:58:22,1376,1376,0.294943563,0.284785451
322599:7144,09/09/18 17:12:13,61,61,0.023526385,0.021671667
322602:7144,09/09/18 17:40:01,69,69,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,10,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,269,269,0.089762970,0.086650276
322617:7144,09/09/18 21:13:20,599,599,0.141137555,0.136102990
322625:7145,09/10/18 04:25:23,979,979,0.293680117,0.283406007
322633:7145,09/10/18 10:51:34,249,249,0.052624689,0.050945617
323414:7213,09/24/18 01:57:29,23,23,0.004416129,0.003946606
323423:7213,09/24/18 05:01:48,101,101,0.016581561,0.015941268
323470:7217,09/24/18 14:51:34,59,59,0.021737308,0.020680159
323471:7217,09/24/18 15:18:19,217,217,0.075271943,0.070712020
323472:7217,09/24/18 16:51:04,57,57,0.018104595,0.017150547
323473:7217,09/24/18 17:40:41,198,198,0.056113131,0.053418019
323474:7217,09/24/18 19:42:20,349,349,0.079707048,0.077157416
323475:7217,09/24/18 22:00:42,77,77,0.014812315,0.014194080
323487:7218,09/25/18 03:50:05,349,349,0.124091253,0.119565548
323488:7218,09/25/18 06:30:08,734,734,0.190360025,0.183432971
323492:7218,09/25/18 11:45:43,28,28,0.006046351,0.005823197
323493:7218,09/25/18 11:58:37,140,140,0.028298225,0.027375069
323495:7218,09/25/18 12:54:54,184,184,0.033041263,0.032147199
323524:7221,09/25/18 22:36:20,512,512,0.173524523,0.167108972
323525:7221,09/26/18 02:05:25,1116,1116,0.251482256,0.242377276
323526:7221,09/26/18 09:22:43,460,460,0.066196991,0.064652869
323693:7234,09/29/18 02:15:28,41,41,0.016013195,0.014719486
323696:7234,09/29/18 02:33:10,252,252,0.091326817,0.087087618
323702:7234,09/29/18 08:56:34,804,804,0.149334051,0.145137760
323725:7236,09/29/18 19:37:19,173,173,0.064710294,0.061137126
