#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
320674:7005,08/01/18 08:16:49,434,434,0.024800234,0.024406418
320688:7006,08/01/18 15:33:26,258,258,0.073442087,0.071154937
320712:7008,08/02/18 03:01:43,143,143,0.051686133,0.049903365
320757:7013,08/02/18 15:09:24,210,210,0.076858103,0.073910797
320804:7017,08/03/18 07:45:43,925,925,0.240620182,0.232766226
320807:7017,08/03/18 15:28:46,3,3,0.000566237,0.000348402
320809:7017,08/03/18 15:43:13,539,539,0.083896894,0.081712175
320821:7018,08/04/18 00:08:01,92,92,0.033086599,0.031622165
320822:7018,08/04/18 01:09:16,278,278,0.083829784,0.080912160
320823:7018,08/04/18 04:34:31,339,339,0.078011294,0.075318436
320824:7018,08/04/18 06:55:49,834,834,0.133802282,0.130330360
320838:7020,08/04/18 17:52:34,125,125,0.046349362,0.044282286
320840:7020,08/04/18 19:20:14,265,265,0.084786861,0.081472274
320841:7020,08/04/18 22:28:46,99,99,0.025717627,0.024853915
320853:7024,08/05/18 07:44:40,161,161,0.058728401,0.056952764
320854:7024,08/05/18 08:59:06,40,40,0.013487943,0.012754499
320855:7024,08/05/18 09:50:43,453,453,0.122634995,0.117895178
320856:7024,08/05/18 13:36:28,152,152,0.033049153,0.032099131
320857:7024,08/05/18 14:39:57,270,270,0.054356699,0.052485366
320858:7024,08/05/18 16:27:33,174,174,0.029413801,0.028128442
320859:7024,08/05/18 18:00:40,8,8,0.001226835,0.001156069
320887:7026,08/06/18 00:11:49,14,14,0.005367802,0.005203983
320888:7026,08/06/18 00:29:40,6,6,0.002247005,0.002188524
320917:7031,08/06/18 10:03:21,1473,1473,0.362890547,0.352253464
320920:7031,08/06/18 21:56:15,99,99,0.013254649,0.012990412
320933:7033,08/07/18 03:34:15,152,152,0.047737617,0.045761963
320934:7033,08/07/18 04:38:31,750,750,0.196106779,0.190424512
320936:7033,08/07/18 10:01:22,390,390,0.079604747,0.077145238
320941:7033,08/07/18 12:39:42,89,89,0.015450748,0.014926764
320995:7036,08/07/18 19:28:55,162,162,0.025033458,0.023975130
320996:7036,08/07/18 20:42:30,340,340,0.045207795,0.043694118
321004:7037,08/08/18 01:58:11,98,98,0.034748348,0.033412952
321005:7037,08/08/18 02:48:15,51,51,0.017829055,0.017131821
321006:7037,08/08/18 03:15:04,130,130,0.043773203,0.041995608
321007:7037,08/08/18 04:19:56,471,471,0.118696107,0.114826566
321009:7037,08/08/18 09:43:25,68,68,0.013335274,0.012981547
321010:7037,08/08/18 10:16:22,339,339,0.059220322,0.057027253
321011:7037,08/08/18 12:32:48,169,169,0.025286102,0.023388932
321012:7037,08/08/18 13:58:30,40,40,0.004566718,0.004300227
321051:7039,08/09/18 04:16:34,922,922,0.260537886,0.250663592
321055:7039,08/09/18 10:35:36,665,665,0.117754886,0.115073087
321067:7040,08/09/18 18:22:54,512,512,0.153070083,0.147886338
321068:7040,08/09/18 22:16:40,624,624,0.132270820,0.128733805
321069:7040,08/10/18 02:54:15,271,271,0.044676521,0.043076906
321121:7042,08/10/18 16:22:06,45,45,0.016635624,0.015831462
321122:7042,08/10/18 16:42:10,318,318,0.104202852,0.100177057
321124:7042,08/10/18 19:20:25,694,694,0.164657317,0.158821944
321126:7042,08/11/18 01:08:48,465,465,0.076751689,0.074515706
321134:7043,08/11/18 08:40:42,36,36,0.007951495,0.007706863
321138:7043,08/11/18 09:32:55,644,644,0.129945978,0.125943296
321140:7043,08/11/18 14:25:01,629,629,0.094838213,0.092680305
321149:7045,08/11/18 23:57:36,1020,1020,0.237055703,0.230728290
321167:7047,08/12/18 16:46:58,722,722,0.215859536,0.209323780
321177:7048,08/13/18 05:44:17,47,47,0.016422784,0.015907326
321178:7048,08/13/18 07:09:01,22,22,0.006972889,0.006812792
321218:7052,08/13/18 13:50:33,498,498,0.153098215,0.147935661
321219:7052,08/13/18 18:10:44,753,753,0.147887068,0.143710834
321221:7052,08/14/18 00:13:21,33,33,0.004989515,0.004878218
321233:7053,08/14/18 05:50:28,406,406,0.126299170,0.122700805
